test_id,rfr_id,rfr_type_code,mot_test_rfr_location_type_id,dangerous_mark,completed_date
957532255,10003,A,17,,2024-12-02T09:09:42.000Z
159247021,30012,F,1,,2024-12-01T08:44:45.000Z
159247021,32036,A,17,,2024-12-01T08:44:45.000Z
159247021,30006,F,1,,2024-12-01T08:44:45.000Z
116598535,31002,A,17,,2024-12-01T08:29:37.000Z
116598535,31084,M,13,,2024-12-01T08:29:37.000Z
116598535,30202,A,9,,2024-12-01T08:29:37.000Z
116598535,31002,A,13,,2024-12-01T08:29:37.000Z
1775410647,30694,A,1,,2024-12-01T08:35:41.000Z
1775410647,31156,A,13,,2024-12-01T08:35:41.000Z
1775410647,31455,M,33,,2024-12-01T08:35:41.000Z
1775410647,31156,A,17,,2024-12-01T08:35:41.000Z
1775410647,32037,A,87,,2024-12-01T08:35:41.000Z
581253039,30878,A,25,,2024-12-01T08:57:27.000Z
581253039,30878,A,27,,2024-12-01T08:57:27.000Z
581253039,31084,M,13,,2024-12-01T08:57:27.000Z
581253039,31086,P,17,,2024-12-01T08:57:27.000Z
581253039,30202,A,7,,2024-12-01T08:57:27.000Z
581253039,30202,A,9,,2024-12-01T08:57:27.000Z
790016627,30823,M,231,,2024-12-01T09:53:04.000Z
790016627,31515,A,121,,2024-12-01T09:53:04.000Z
790016627,30823,M,231,,2024-12-01T09:53:04.000Z
790016627,31515,A,121,,2024-12-01T09:53:04.000Z
145810495,30335,A,7,,2024-12-01T10:09:30.000Z
1889919579,31194,A,1,,2024-12-01T10:14:59.000Z
1889919579,30621,M,1,,2024-12-01T10:14:59.000Z
1889919579,31407,A,9,,2024-12-01T10:14:59.000Z
1889919579,31322,A,7,,2024-12-01T10:14:59.000Z
1889919579,31397,A,17,,2024-12-01T10:14:59.000Z
1889919579,30202,A,1,,2024-12-01T10:14:59.000Z
1036949859,30898,P,25,,2024-12-01T10:11:13.000Z
482519541,30305,A,9,,2024-12-01T10:25:52.000Z
1757495279,31940,A,1,,2024-12-01T10:21:07.000Z
1757495279,30256,A,1,,2024-12-01T10:21:07.000Z
1757495279,30616,A,27,,2024-12-01T10:21:07.000Z
1416307391,31002,F,7,,2024-12-01T10:55:42.000Z
1416307391,32037,A,19,,2024-12-01T10:55:42.000Z
1416307391,31042,F,9,,2024-12-01T10:55:42.000Z
1416307391,30335,A,1,,2024-12-01T10:55:42.000Z
1416307391,31130,M,1,,2024-12-01T10:55:42.000Z
1416307391,31325,M,39,,2024-12-01T10:55:42.000Z
1416307391,31002,F,9,,2024-12-01T10:55:42.000Z
1416307391,30305,A,1,,2024-12-01T10:55:42.000Z
1416307391,31515,A,1,,2024-12-01T10:55:42.000Z
1416307391,32017,F,7,,2024-12-01T10:55:42.000Z
1203064961,31194,A,25,,2024-12-01T09:54:23.000Z
1203064961,31194,A,27,,2024-12-01T09:54:23.000Z
1203064961,31940,A,1,,2024-12-01T09:54:23.000Z
1203064961,30305,A,17,,2024-12-01T09:54:23.000Z
1203064961,31302,A,31,,2024-12-01T09:54:23.000Z
1203064961,31302,A,33,,2024-12-01T09:54:23.000Z
8907353,31533,A,1,,2024-12-01T10:45:37.000Z
8907353,30823,M,1,,2024-12-01T10:45:37.000Z
8907353,31009,F,3,,2024-12-01T10:45:37.000Z
8907353,31792,F,239,,2024-12-01T10:45:37.000Z
8907353,31189,F,25,D,2024-12-01T10:45:37.000Z
8907353,31084,M,5,,2024-12-01T10:45:37.000Z
8907353,31385,F,25,,2024-12-01T10:45:37.000Z
8907353,10003,A,13,,2024-12-01T10:45:37.000Z
1539774007,31194,A,17,,2024-12-01T10:35:42.000Z
1539774007,31194,A,13,,2024-12-01T10:35:42.000Z
1539774007,32055,P,1,,2024-12-01T10:35:42.000Z
175022455,30478,A,13,,2024-12-01T10:48:34.000Z
175022455,30335,A,7,,2024-12-01T10:48:34.000Z
175022455,31195,A,7,,2024-12-01T10:48:34.000Z
175022455,31534,A,1,,2024-12-01T10:48:34.000Z
175022455,31322,A,25,,2024-12-01T10:48:34.000Z
175022455,31321,F,25,,2024-12-01T10:48:34.000Z
175022455,31226,A,1,,2024-12-01T10:48:34.000Z
175022455,30823,M,1,,2024-12-01T10:48:34.000Z
1701410267,30968,P,17,,2024-12-01T10:44:42.000Z
720495089,10003,A,13,,2024-12-01T10:21:35.000Z
720495089,31194,A,27,,2024-12-01T10:21:35.000Z
716016247,30335,A,25,,2024-12-01T11:00:20.000Z
716016247,31194,A,27,,2024-12-01T11:00:20.000Z
716016247,30335,A,27,,2024-12-01T11:00:20.000Z
76288957,31401,M,25,,2024-12-01T11:12:39.000Z
76288957,32013,A,1,,2024-12-01T11:12:39.000Z
76288957,31401,M,25,,2024-12-01T11:12:39.000Z
76288957,32013,A,1,,2024-12-01T11:12:39.000Z
1735101069,31885,P,229,,2024-12-01T11:02:34.000Z
1735101069,31407,A,9,,2024-12-01T11:02:34.000Z
1735101069,31407,A,7,,2024-12-01T11:02:34.000Z
1176191909,32037,A,13,,2024-12-01T11:57:04.000Z
1176191909,32037,A,17,,2024-12-01T11:57:04.000Z
446688805,31322,A,17,,2024-12-01T11:43:59.000Z
446688805,31322,A,13,,2024-12-01T11:43:59.000Z
446688805,31401,M,49,,2024-12-01T11:43:59.000Z
446688805,31186,A,25,,2024-12-01T11:43:59.000Z
446688805,31407,A,9,,2024-12-01T11:43:59.000Z
446688805,31940,A,1,,2024-12-01T11:43:59.000Z
783397851,30705,A,7,,2024-12-01T11:49:05.000Z
783397851,30987,A,9,,2024-12-01T11:49:05.000Z
783397851,31226,A,9,,2024-12-01T11:49:05.000Z
783397851,30333,A,7,,2024-12-01T11:49:05.000Z
783397851,31918,F,1,,2024-12-01T11:49:05.000Z
783397851,31940,A,7,,2024-12-01T11:49:05.000Z
1973076617,31361,A,9,,2024-12-01T11:44:00.000Z
1973076617,31226,A,9,,2024-12-01T11:44:00.000Z
1883300803,31194,A,25,,2024-12-01T11:56:21.000Z